256.000036
256.000324
256.002916
256.026244
256.236264
258.131612
470.419761
470.419761
8902.781610
1095163877052081242112.000000
1095163877052081242112.000000
-nan(ind)
-nan(ind)
-nan(ind)
-nan(ind)
-nan(ind)
-nan(ind)
-nan(ind)
-nan(ind)
-nan(ind)
